"playerID","AB_2021","AB_2020","H_2021","H_2020","BA_2021","BA_2020"
"narvaom01",391,108,104,19,0.265984654731458,0.175925925925926
"naylojo01",233,97,59,24,0.253218884120172,0.247422680412371
"newmake01",517,156,117,35,0.226305609284333,0.224358974358974
"nimmobr01",325,186,95,52,0.292307692307692,0.279569892473118
"nolaau01",173,161,47,44,0.271676300578035,0.273291925465839
"nunezre01",53,195,10,50,0.188679245283019,0.256410256410256
"odorro01",322,138,65,23,0.201863354037267,0.166666666666667
"ohearry01",236,113,53,22,0.224576271186441,0.194690265486726
"ohtansh01",537,153,138,29,0.256983240223464,0.189542483660131
"olivaed02",101,96,24,23,0.237623762376238,0.239583333333333
"olsonma02",565,210,153,41,0.270796460176991,0.195238095238095
"oneilty01",482,139,138,24,0.286307053941909,0.172661870503597
"ozunama01",188,228,40,77,0.212765957446809,0.337719298245614
"panikjo01",236,120,49,27,0.207627118644068,0.225
"paredis01",72,100,15,22,0.208333333333333,0.22
"pederjo01",429,121,102,23,0.237762237762238,0.190082644628099
"peralda01",487,203,126,61,0.258726899383984,0.300492610837438
"perazjo01",142,111,29,25,0.204225352112676,0.225225225225225
"perezmi03",210,84,30,14,0.142857142857143,0.166666666666667
"perezro02",141,97,21,16,0.148936170212766,0.164948453608247
"perezsa02",620,150,169,50,0.27258064516129,0.333333333333333
"phamth01",475,109,109,23,0.229473684210526,0.211009174311927
"phillbr02",253,51,52,10,0.205533596837945,0.196078431372549
"pillake01",325,208,75,60,0.230769230769231,0.288461538461538
"pindech01",214,56,52,13,0.242990654205607,0.232142857142857
"piscost01",173,159,38,36,0.219653179190751,0.226415094339623
"plaweke01",157,82,45,28,0.286624203821656,0.341463414634146
"polangr01",336,157,70,24,0.208333333333333,0.152866242038217
"polanjo01",588,209,158,54,0.268707482993197,0.258373205741627
"polloaj01",384,196,114,54,0.296875,0.275510204081633
"profaju01",353,180,80,50,0.226628895184136,0.277777777777778
"pujolal01",275,152,65,34,0.236363636363636,0.223684210526316
"quinnro01",52,108,9,23,0.173076923076923,0.212962962962963
"ramirjo01",552,219,147,64,0.266304347826087,0.292237442922374
"ramoswi01",151,142,31,34,0.205298013245033,0.23943661971831
"realmjt01",476,173,125,46,0.262605042016807,0.265895953757225
"reddijo01",151,188,39,46,0.258278145695364,0.24468085106383
"rendoan01",217,189,52,54,0.23963133640553,0.285714285714286
"renfrhu01",521,122,135,19,0.259117082533589,0.155737704918033
"rengilu01",174,90,35,14,0.201149425287356,0.155555555555556
"reyesfr01",418,211,106,58,0.253588516746411,0.274881516587678
"reyesvi01",209,202,54,56,0.258373205741627,0.277227722772277
"reynobr01",559,185,169,35,0.302325581395349,0.189189189189189
"rileyau01",590,188,179,45,0.303389830508475,0.23936170212766
"riosed01",51,76,4,19,0.0784313725490196,0.25
"rizzoan01",496,203,123,45,0.247983870967742,0.221674876847291
"roberlu01",275,202,93,47,0.338181818181818,0.232673267326733
"roblevi01",315,168,64,37,0.203174603174603,0.220238095238095
"rojasjo01",484,61,128,11,0.264462809917355,0.180327868852459
"rojasmi02",495,125,131,38,0.264646464646465,0.304
"rominau01",60,130,13,31,0.216666666666667,0.238461538461538
"rosaram01",550,143,155,36,0.281818181818182,0.251748251748252
"rosared01",379,210,98,54,0.258575197889182,0.257142857142857
"rufda01",262,87,71,24,0.270992366412214,0.275862068965517
"ruizri01",125,185,21,41,0.168,0.221621621621622
