season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,plot_group,constructor_n,circuit_n
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,2,1,22.426,mercedes,0,0,0,27.0872,1,0,Excluded: abnormal long stop,278,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,3,2,22.164,mercedes,0,0,0,27.0872,1,0,Excluded: abnormal long stop,278,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,hamilton,37,3,26.907,mercedes,0,0,0,27.0872,1,0,Excluded: abnormal long stop,278,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,2,1,21.97,williams,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,3,2,21.73,williams,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,latifi,24,3,26.595,williams,0,0,0,27.0872,1,0,Excluded: abnormal long stop,271,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,2,1,21.323,ferrari,0,0,0,27.0872,1,0,Excluded: abnormal long stop,259,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,3,2,22.587,ferrari,0,0,0,27.0872,1,0,Excluded: abnormal long stop,259,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,25,3,27.082,ferrari,0,0,0,27.0872,1,0,Excluded: abnormal long stop,259,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,2,1,22.718,red_bull,0,0,0,27.0872,1,0,Excluded: abnormal long stop,292,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,3,2,22.104,red_bull,0,0,0,27.0872,1,0,Excluded: abnormal long stop,292,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,35,3,26.743,red_bull,0,0,0,27.0872,1,0,Excluded: abnormal long stop,292,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,64,4,26.319,red_bull,0,0,0,27.0872,1,0,Excluded: abnormal long stop,292,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,2,1,21.372,haas,0,0,0,27.0872,1,0,Excluded: abnormal long stop,272,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,3,2,21.404,haas,0,0,0,27.0872,1,0,Excluded: abnormal long stop,272,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,31,3,27.186,haas,0,0,0,27.0872,1,0,Excluded: abnormal long stop,272,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,43,4,26.984,haas,0,0,0,27.0872,1,0,Excluded: abnormal long stop,272,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,2,1,22.019,haas,0,0,0,27.0872,1,0,Excluded: abnormal long stop,272,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,3,2,21.454,haas,0,0,0,27.0872,1,0,Excluded: abnormal long stop,272,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,32,3,27.245,haas,0,0,0,27.0872,1,0,Excluded: abnormal long stop,272,60
