season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,result_status_text,damage_crash_proxy,penalty_text_proxy,track_status,under_safety_car,under_yellow_flag,under_red_flag,under_any_non_green,race_has_safety_car,race_safety_car_lap_share,race_has_yellow_flag,race_has_red_flag,race_q95_stop,very_short_stop_proxy,abnormal_long_stop_proxy,penalty_duration_proxy,penalty_proxy,point_type,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,giovinazzi,32,2,1.496541,alfa,+1 Lap,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,194,69,23.519196116730775,4.855737085441943,-22.022655116730775,-3.359196085441943
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,hamilton,32,3,1.494731,mercedes,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,278,69,23.723419932326742,5.042577603159062,-22.22868893232674,-3.547846603159062
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,leclerc,33,2,1.609484,ferrari,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,259,69,23.352384859947577,4.293721136411614,-21.74290085994758,-2.684237136411614
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,maxverstappen,33,2,1.621361,red_bull,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,1,0,0,Abnormal long stop,292,69,23.275254581640972,20.620059678087443,-21.653893581640972,-18.998698678087443
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,mazepin,31,3,1.486154,haas,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,272,69,24.722799242763323,5.994463140932361,-23.236645242763323,-4.5083091409323615
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,mickschumacher,31,3,1.521462,haas,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,272,69,24.722799242763323,5.994463140932361,-23.201337242763323,-4.473001140932361
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,norris,33,2,1.584953,mclaren,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,270,69,23.32598023935718,4.462940463123562,-21.74102723935718,-2.8779874631235622
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,ocon,32,4,1.478974,alpine,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,249,69,23.544737276145767,6.804656196637572,-22.065763276145766,-5.325682196637572
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,perez,33,2,1.5811579999999998,red_bull,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,292,69,23.275254581640972,4.003838104691891,-21.694096581640974,-2.422680104691891
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,raikkonen,32,2,1.492612,alfa,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,194,69,23.519196116730775,4.855737085441943,-22.026584116730774,-3.3631250854419426
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,ricciardo,33,2,1.574827,mclaren,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,270,69,23.32598023935718,4.462940463123562,-21.75115323935718,-2.8881134631235623
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,sainz,33,2,1.582211,ferrari,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,259,69,23.352384859947577,4.293721136411614,-21.770173859947576,-2.711510136411614
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,stroll,32,2,1.49209,aston_martin,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,271,69,23.540280649966427,4.631419529547166,-22.048190649966426,-3.139329529547166
