season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,safety_car_pit_lap,race_q95_stop,abnormal_stop_proxy,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,norris,33,2,1.584953,mclaren,0,1.6118594,0,270,69,23.32598023935718,6.808203911014811,-21.74102723935718,-5.22325091101481
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,ocon,32,4,1.478974,alpine,0,1.6118594,0,249,69,23.544737276145767,10.23222215745649,-22.065763276145766,-8.75324815745649
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,perez,33,2,1.5811579999999998,red_bull,0,1.6118594,0,292,69,23.275254581640972,6.327237144388409,-21.694096581640974,-4.746079144388409
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,raikkonen,32,2,1.492612,alfa,0,1.6118594,0,194,69,23.519196116730775,7.292578747852055,-22.026584116730774,-5.7999667478520545
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,ricciardo,33,2,1.574827,mclaren,0,1.6118594,0,270,69,23.32598023935718,6.808203911014811,-21.75115323935718,-5.233376911014811
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,sainz,33,2,1.582211,ferrari,0,1.6118594,0,259,69,23.352384859947577,6.72715392798416,-21.770173859947576,-5.14494292798416
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,stroll,32,2,1.49209,aston_martin,0,1.6118594,0,271,69,23.540280649966427,7.07543071966043,-22.048190649966426,-5.58334071966043
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,tsunoda,32,2,1.491384,alphatauri,0,1.6118594,0,202,69,23.062600909497124,6.947488777919133,-21.571216909497124,-5.456104777919133
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,vettel,32,4,1.452323,aston_martin,0,1.6118594,0,271,69,23.540280649966427,10.129998544095415,-22.087957649966427,-8.677675544095415
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,2,1,21.452,alpine,0,27.0872,1,249,60,23.62938218744925,23.539325921995644,-2.177382187449247,-2.0873259219956424
