season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,raikkonen,32,2,1.492612,alfa,0,0,0,1.6118594,0,1,194,69,23.519196116730775,5.211403611645457,-22.026584116730774,-3.7187916116454565
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,ricciardo,33,2,1.574827,mclaren,0,0,0,1.6118594,0,1,270,69,23.32598023935718,4.790056648033421,-21.75115323935718,-3.2152296480334206
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,sainz,33,2,1.582211,ferrari,0,0,0,1.6118594,0,1,259,69,23.352384859947577,4.691024362591136,-21.770173859947576,-3.1088133625911363
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,stroll,32,2,1.49209,aston_martin,0,0,0,1.6118594,0,1,271,69,23.540280649966427,5.050589094938616,-22.048190649966426,-3.5584990949386155
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,tsunoda,32,2,1.491384,alphatauri,0,0,0,1.6118594,0,1,202,69,23.062600909497124,4.825184006888499,-21.571216909497124,-3.3338000068884988
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,vettel,32,4,1.452323,aston_martin,0,0,0,1.6118594,0,1,271,69,23.540280649966427,6.983806121782912,-22.087957649966427,-5.531483121782912
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,2,1,21.452,alpine,0,0,0,27.0872,1,0,249,60,23.62938218744925,23.582603743684075,-2.177382187449247,-2.1306037436840732
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,3,2,21.621,alpine,0,0,0,27.0872,1,0,249,60,23.62938218744925,23.757098336351493,-2.00838218744925,-2.1360983363514947
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,40,3,26.442,alpine,0,0,0,27.0872,1,0,249,60,23.62938218744925,24.229406360806294,2.8126178125507515,2.212593639193706
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,2,1,21.377,mercedes,0,0,0,27.0872,1,0,278,60,23.80806484363022,23.317869676660038,-2.431064843630221,-1.9408696766600393
